Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Cleaned Date,Is_Return,Cleaned Quantity,Formatted Price,Cleaned Price,Revenue,Return_Flag,Return_Revenue,Year,,,
T0027,25/07/22,C2579,Coffee Machine,485,970.28,Credit Card,Completed,2022/07/25,FALSE,485.00,970.28,970.28,470585.80,0,0,2022,,,
T0028,2023-13-01,C292,Laptop,2,-596.43,PayPal,Completed,2024/01/01,FALSE,2.00,596.43,596.43,1192.85,0,0,2024,,,
T0029,2023-13-01,C2492,Smartphone,-10,711.71,PayPal,Pending,2024/01/01,TRUE,10.00,711.71,711.71,-7117.10,1,-7117.10,2024,,,
T0030,18/06/20,C2208,Laptop,8,,Credit Card,Failed,2020/06/18,FALSE,8.00,,540.53,4324.23,0,0,2020,,,
T0031,2023-13-01,C4687,Tablet,9,,PayPal,Completed,2024/01/01,FALSE,9.00,,506.52,4558.71,0,0,2024,,,
T0032,2023-13-01,C3328,Headphones,7,,PayPal,Failed,2024/01/01,FALSE,7.00,,495.77,3470.41,0,0,2024,,,
T0033,20/10/23,C1693,Laptop,865,,Credit Card,Completed,2023/10/20,FALSE,865.00,,540.53,467557.01,0,0,2023,,,
T0034,2021/04/08,C4796,Coffee Machine,8,,Credit Card,Failed,2021/04/08,FALSE,8.00,,523.61,4188.88,0,0,2021,,,
T0035,2025-02-30,C4046,Smartphone,-10,,Cash,Pending,2025/03/02,TRUE,10.00,,513.93,-5139.28,1,-5139.28,2025,,,
T0036,2023-13-01,C3393,Smartphone,-5,653.39,Credit Card,Pending,2024/01/01,TRUE,5.00,653.39,653.39,-3266.93,1,-3266.93,2024,,,
T0037,2025-02-30,C2797,Coffee Machine,825,-788.77,PayPal,Completed,2025/03/02,FALSE,825.00,788.77,788.77,650735.66,0,0,2025,,,
T0038,2025-02-30,C987,Headphones,-5,-527.10,Credit Card,Pending,2025/03/02,TRUE,5.00,527.10,527.10,-2635.48,1,-2635.48,2025,,,
T0039,18/06/20,C4480,Laptop,762,,Credit Card,Completed,2020/06/18,FALSE,762.00,,540.53,411882.59,0,0,2020,,,
T0040,20/12/22,C4029,Headphones,839,-756.33,PayPal,Pending,2022/12/20,FALSE,839.00,756.33,756.33,634564.29,0,0,2022,,,
T0041,22/07/22,C1077,Laptop,559,154.19,Credit Card,Failed,2022/07/22,FALSE,559.00,154.19,154.19,86189.45,0,0,2022,,,
T0042,2023-13-01,C642,Tablet,4,,Credit Card,Completed,2024/01/01,FALSE,4.00,,506.52,2026.09,0,0,2024,,,
T0043,17/04/24,C2474,Coffee Machine,867,130.23,Credit Card,Pending,2024/04/17,FALSE,867.00,130.23,130.23,112911.03,0,0,2024,,,
T0044,2025-02-30,C4020,Coffee Machine,153,-500.92,PayPal,Completed,2025/03/02,FALSE,153.00,500.92,500.92,76640.23,0,0,2025,,,
T0045,2023-13-01,C3286,Smartphone,469,-424.32,PayPal,Completed,2024/01/01,FALSE,469.00,424.32,424.32,199004.11,0,0,2024,,,
T0046,2023-13-01,C3123,Headphones,6,-692.70,Credit Card,Completed,2024/01/01,FALSE,6.00,692.70,692.70,4156.17,0,0,2024,,,
T0047,2025-02-30,C4415,Tablet,587,,Cash,Completed,2025/03/02,FALSE,587.00,,506.52,297329.15,0,0,2025,,,
T0048,2023-13-01,C4884,Smartphone,-6,261.10,PayPal,Pending,2024/01/01,TRUE,6.00,261.10,261.10,-1566.60,1,-1566.60,2024,,,
T0049,2025-02-30,C4996,Laptop,399,416.86,PayPal,Pending,2025/03/02,FALSE,399.00,416.86,416.86,166328.84,0,0,2025,,,
T0050,2023-13-01,C981,Tablet,769,,Cash,Failed,2024/01/01,FALSE,769.00,,506.52,389516.38,0,0,2024,,,
T0051,2023-13-01,C4424,Tablet,222,-893.06,PayPal,Failed,2024/01/01,FALSE,222.00,893.06,893.06,198258.90,0,0,2024,,,
T0052,2021/03/03,C1757,Headphones,-5,-750.98,Credit Card,Completed,2021/03/03,TRUE,5.00,750.98,750.98,-3754.92,1,-3754.92,2021,,,
T0053,2025-02-30,C4445,Coffee Machine,787,-197.83,PayPal,Completed,2025/03/02,FALSE,787.00,197.83,197.83,155689.62,0,0,2025,,,
T0054,2023-13-01,C899,Headphones,3,,Credit Card,Failed,2024/01/01,FALSE,3.00,,495.77,1487.32,0,0,2024,,,
T0055,2021/10/04,C1319,Headphones,9,,Cash,Pending,2021/10/04,FALSE,9.00,,495.77,4461.95,0,0,2021,,,
T0056,16/01/25,C4509,Laptop,7,,PayPal,Pending,2025/01/16,FALSE,7.00,,540.53,3783.70,0,0,2025,,,
T0057,2025-02-30,C3892,Laptop,6,310.01,PayPal,Pending,2025/03/02,FALSE,6.00,310.01,310.01,1860.07,0,0,2025,,,
T0058,2025-02-30,C3280,Smartphone,-8,,Cash,Pending,2025/03/02,TRUE,8.00,,513.93,-4111.42,1,-4111.42,2025,,,
T0059,2025-02-30,C1586,Smartphone,4,,Credit Card,Completed,2025/03/02,FALSE,4.00,,513.93,2055.71,0,0,2025,,,
T0060,2025-02-30,C4545,Laptop,10,-523.97,PayPal,Pending,2025/03/02,FALSE,10.00,523.97,523.97,5239.73,0,0,2025,,,
T0061,28/02/23,C3687,Smartphone,8,-845.03,PayPal,Completed,2023/02/28,FALSE,8.00,845.03,845.03,6760.25,0,0,2023,,,
T0062,2023-13-01,C2616,Tablet,7,447.17,PayPal,Completed,2024/01/01,FALSE,7.00,447.17,447.17,3130.22,0,0,2024,,,
T0063,2023-13-01,C722,Tablet,4,811.19,PayPal,Failed,2024/01/01,FALSE,4.00,811.19,811.19,3244.78,0,0,2024,,,
T0064,2025-02-30,C4004,Headphones,9,-381.00,PayPal,Completed,2025/03/02,FALSE,9.00,381.00,381.00,3428.98,0,0,2025,,,
T0065,16/05/23,C308,Coffee Machine,824,577.56,Credit Card,Failed,2023/05/16,FALSE,824.00,577.56,577.56,475910.07,0,0,2023,,,
T0066,2025-02-30,C3389,Smartphone,-10,,PayPal,Completed,2025/03/02,TRUE,10.00,,513.93,-5139.28,1,-5139.28,2025,,,
T0067,2025-02-30,C2314,Headphones,733,,PayPal,Completed,2025/03/02,FALSE,733.00,,495.77,363401.03,0,0,2025,,,
T0068,2025-02-30,C529,Laptop,2,-149.55,Credit Card,Pending,2025/03/02,FALSE,2.00,149.55,149.55,299.10,0,0,2025,,,
T0069,2023-13-01,C1336,Coffee Machine,198,-315.08,Cash,Completed,2024/01/01,FALSE,198.00,315.08,315.08,62385.59,0,0,2024,,,
T0070,2023-13-01,C1341,Headphones,-9,-724.92,Credit Card,Completed,2024/01/01,TRUE,9.00,724.92,724.92,-6524.28,1,-6524.28,2024,,,
T0071,2025-02-30,C3685,Smartphone,909,-585.48,PayPal,Completed,2025/03/02,FALSE,909.00,585.48,585.48,532199.51,0,0,2025,,,
T0072,2023-13-01,C2318,Tablet,367,272.64,Credit Card,Failed,2024/01/01,FALSE,367.00,272.64,272.64,100057.90,0,0,2024,,,
T0073,2022/04/12,C327,Tablet,-10,-963.46,PayPal,Completed,2022/04/12,TRUE,10.00,963.46,963.46,-9634.58,1,-9634.58,2022,,,
T0074,2025-02-30,C4377,Laptop,9,,Credit Card,Pending,2025/03/02,FALSE,9.00,,540.53,4864.76,0,0,2025,,,
T0075,2025-02-30,C4261,Laptop,670,-197.03,PayPal,Failed,2025/03/02,FALSE,670.00,197.03,197.03,132011.96,0,0,2025,,,
T0076,24/08/22,C4233,Laptop,-2,,Credit Card,Completed,2022/08/24,TRUE,2.00,,540.53,-1081.06,1,-1081.06,2022,,,
T0077,24/12/20,C4889,Smartphone,399,,Credit Card,Completed,2020/12/24,FALSE,399.00,,513.93,205057.30,0,0,2020,,,
T0078,2023-13-01,C4669,Coffee Machine,889,,Credit Card,Failed,2024/01/01,FALSE,889.00,,523.61,465489.04,0,0,2024,,,
T0079,2024/06/09,C4249,Laptop,723,90.35,Credit Card,Failed,2024/06/09,FALSE,723.00,90.35,90.35,65321.09,0,0,2024,,,
T0080,2020/08/04,C2894,Headphones,-8,86.42,PayPal,Completed,2020/08/04,TRUE,8.00,86.42,86.42,-691.33,1,-691.33,2020,,,
T0081,2025-02-30,C3190,Smartphone,787,-104.60,Credit Card,Completed,2025/03/02,FALSE,787.00,104.60,104.60,82323.17,0,0,2025,,,
T0082,29/03/21,C4411,Tablet,300,,PayPal,Completed,2021/03/29,FALSE,300.00,,506.52,151956.97,0,0,2021,,,
T0083,2025-02-30,C2778,Headphones,-6,-276.43,Credit Card,Completed,2025/03/02,TRUE,6.00,276.43,276.43,-1658.61,1,-1658.61,2025,,,
T0084,2025-02-30,C4517,Laptop,10,,Credit Card,Failed,2025/03/02,FALSE,10.00,,540.53,5405.28,0,0,2025,,,
T0085,2023-13-01,C4087,Tablet,903,,Credit Card,Completed,2024/01/01,FALSE,903.00,,506.52,457390.49,0,0,2024,,,
T0086,22/08/21,C4055,Headphones,603,,PayPal,Pending,2021/08/22,FALSE,603.00,,495.77,298950.64,0,0,2021,,,
T0087,2023-13-01,C2837,Tablet,-10,-463.14,PayPal,Failed,2024/01/01,TRUE,10.00,463.14,463.14,-4631.43,1,-4631.43,2024,,,
T0088,2021/02/12,C086,Coffee Machine,667,-681.87,PayPal,Pending,2021/02/12,FALSE,667.00,681.87,681.87,454807.29,0,0,2021,,,
T0089,2025-02-30,C2165,Headphones,-3,,PayPal,Failed,2025/03/02,TRUE,3.00,,495.77,-1487.32,1,-1487.32,2025,,,
T0090,2023-13-01,C2883,Tablet,3,,PayPal,Completed,2024/01/01,FALSE,3.00,,506.52,1519.57,0,0,2024,,,
T0091,14/11/21,C1399,Laptop,996,,PayPal,Completed,2021/11/14,FALSE,996.00,,540.53,538366.22,0,0,2021,,,
T0092,2025-02-30,C2556,Laptop,1,-177.14,Credit Card,Completed,2025/03/02,FALSE,1.00,177.14,177.14,177.14,0,0,2025,,,
T0093,20/08/20,C1736,Laptop,-10,-63.47,PayPal,Completed,2020/08/20,TRUE,10.00,63.47,63.47,-634.68,1,-634.68,2020,,,
T0094,2021/12/07,C2977,Laptop,137,-97.99,Credit Card,Failed,2021/12/07,FALSE,137.00,97.99,97.99,13424.45,0,0,2021,,,
T0095,2025-02-30,C1514,Coffee Machine,1,,Cash,Completed,2025/03/02,FALSE,1.00,,523.61,523.61,0,0,2025,,,
T0096,2025-02-30,C820,Laptop,-8,999.68,Credit Card,Failed,2025/03/02,TRUE,8.00,999.68,999.68,-7997.42,1,-7997.42,2025,,,
T0097,2024/04/05,C544,Tablet,788,,PayPal,Completed,2024/04/05,FALSE,788.00,,506.52,399140.32,0,0,2024,,,
T0098,2022/04/08,C4112,Headphones,322,-557.44,PayPal,Completed,2022/04/08,FALSE,322.00,557.44,557.44,179494.20,0,0,2022,,,
T0099,2023-13-01,C2349,Laptop,199,,Cash,Completed,2024/01/01,FALSE,199.00,,540.53,107565.14,0,0,2024,,,
T0100,2025-02-30,C2703,Tablet,2,,PayPal,Failed,2025/03/02,FALSE,2.00,,506.52,1013.05,0,0,2025,,,
T0101,2023-13-01,C869,Headphones,564,499.88,Credit Card,Failed,2024/01/01,FALSE,564.00,499.88,499.88,281931.31,0,0,2024,,,
T0102,2023-13-01,C4226,Tablet,-7,862.48,Credit Card,Completed,2024/01/01,TRUE,7.00,862.48,862.48,-6037.36,1,-6037.36,2024,,,
T0103,28/06/22,C3555,Smartphone,3,625.38,Credit Card,Completed,2022/06/28,FALSE,3.00,625.38,625.38,1876.14,0,0,2022,,,
T0104,2020/03/02,C4891,Coffee Machine,8,375.97,PayPal,Completed,2020/03/02,FALSE,8.00,375.97,375.97,3007.78,0,0,2020,,,
T0105,2023-13-01,C513,Smartphone,778,-887.29,Credit Card,Pending,2024/01/01,FALSE,778.00,887.29,887.29,690312.08,0,0,2024,,,
T0106,14/09/22,C2945,Laptop,4,-485.06,PayPal,Pending,2022/09/14,FALSE,4.00,485.06,485.06,1940.23,0,0,2022,,,
T0107,2025-02-30,C3843,Coffee Machine,7,497.41,PayPal,Completed,2025/03/02,FALSE,7.00,497.41,497.41,3481.86,0,0,2025,,,
T0108,2025-02-30,C4252,Laptop,946,234.97,PayPal,Completed,2025/03/02,FALSE,946.00,234.97,234.97,222276.91,0,0,2025,,,
T0109,2023-13-01,C1021,Smartphone,222,734.99,PayPal,Completed,2024/01/01,FALSE,222.00,734.99,734.99,163167.25,0,0,2024,,,
T0110,23/01/20,C1382,Coffee Machine,-6,-480.09,PayPal,Completed,2020/01/23,TRUE,6.00,480.09,480.09,-2880.54,1,-2880.54,2020,,,
T0111,2021/01/02,C2917,Coffee Machine,304,863.77,Credit Card,Pending,2021/01/02,FALSE,304.00,863.77,863.77,262586.08,0,0,2021,,,
T0112,2023-13-01,C4975,Headphones,661,,Credit Card,Completed,2024/01/01,FALSE,661.00,,495.77,327705.43,0,0,2024,,,
T0113,2023-13-01,C2913,Headphones,571,,Cash,Pending,2024/01/01,FALSE,571.00,,495.77,283085.93,0,0,2024,,,
T0114,2025-02-30,C1618,Laptop,-9,,Credit Card,Completed,2025/03/02,TRUE,9.00,,540.53,-4864.76,1,-4864.76,2025,,,
T0115,2025-02-30,C4414,Coffee Machine,-4,864.05,PayPal,Failed,2025/03/02,TRUE,4.00,864.05,864.05,-3456.18,1,-3456.18,2025,,,
T0116,25/11/24,C3287,Smartphone,-9,850.50,Credit Card,Pending,2024/11/25,TRUE,9.00,850.50,850.50,-7654.49,1,-7654.49,2024,,,
T0117,2023-13-01,C2345,Coffee Machine,10,-913.20,Credit Card,Completed,2024/01/01,FALSE,10.00,913.20,913.20,9131.99,0,0,2024,,,
T0118,30/05/22,C316,Coffee Machine,599,,PayPal,Pending,2022/05/30,FALSE,599.00,,523.61,313642.22,0,0,2022,,,
T0119,2025-02-30,C222,Coffee Machine,3,-818.04,PayPal,Completed,2025/03/02,FALSE,3.00,818.04,818.04,2454.11,0,0,2025,,,
T0120,2021/05/08,C2395,Coffee Machine,547,-884.36,Credit Card,Pending,2021/05/08,FALSE,547.00,884.36,884.36,483745.04,0,0,2021,,,
T0121,2023-13-01,C2741,Headphones,-9,-963.40,PayPal,Completed,2024/01/01,TRUE,9.00,963.40,963.40,-8670.58,1,-8670.58,2024,,,
T0122,2025-02-30,C1460,Headphones,-9,-699.57,Cash,Completed,2025/03/02,TRUE,9.00,699.57,699.57,-6296.12,1,-6296.12,2025,,,
T0123,2023-13-01,C872,Tablet,10,921.49,PayPal,Pending,2024/01/01,FALSE,10.00,921.49,921.49,9214.92,0,0,2024,,,
T0124,2023-13-01,C3007,Headphones,-10,-908.64,PayPal,Completed,2024/01/01,TRUE,10.00,908.64,908.64,-9086.43,1,-9086.43,2024,,,
T0125,2025-02-30,C2195,Coffee Machine,267,996.89,Credit Card,Completed,2025/03/02,FALSE,267.00,996.89,996.89,266170.30,0,0,2025,,,
T0126,2023-13-01,C3227,Laptop,-3,,PayPal,Completed,2024/01/01,TRUE,3.00,,540.53,-1621.59,1,-1621.59,2024,,,
T0127,26/09/20,C4393,Laptop,505,213.46,Cash,Completed,2020/09/26,FALSE,505.00,213.46,213.46,107798.13,0,0,2020,,,
T0128,2023-13-01,C2863,Coffee Machine,9,,Cash,Completed,2024/01/01,FALSE,9.00,,523.61,4712.49,0,0,2024,,,
T0129,2025/04/01,C3662,Tablet,-4,460.83,PayPal,Completed,2025/04/01,TRUE,4.00,460.83,460.83,-1843.31,1,-1843.31,2025,,,
T0130,2025-02-30,C233,Smartphone,-3,,Credit Card,Completed,2025/03/02,TRUE,3.00,,513.93,-1541.78,1,-1541.78,2025,,,
T0131,19/08/21,C4160,Tablet,622,121.82,Cash,Completed,2021/08/19,FALSE,622.00,121.82,121.82,75769.44,0,0,2021,,,
T0132,2023-13-01,C3357,Tablet,4,,Credit Card,Completed,2024/01/01,FALSE,4.00,,506.52,2026.09,0,0,2024,,,
T0133,2022/04/05,C887,Smartphone,359,365.48,Credit Card,Failed,2022/04/05,FALSE,359.00,365.48,365.48,131207.32,0,0,2022,,,
T0134,24/07/21,C4140,Coffee Machine,916,516.11,Credit Card,Pending,2021/07/24,FALSE,916.00,516.11,516.11,472755.07,0,0,2021,,,
T0135,2025-02-30,C3985,Smartphone,-3,,PayPal,Completed,2025/03/02,TRUE,3.00,,513.93,-1541.78,1,-1541.78,2025,,,
T0136,2023-13-01,C3954,Headphones,4,501.18,Credit Card,Completed,2024/01/01,FALSE,4.00,501.18,501.18,2004.72,0,0,2024,,,
T0137,14/05/24,C4308,Smartphone,779,388.04,PayPal,Completed,2024/05/14,FALSE,779.00,388.04,388.04,302282.41,0,0,2024,,,
T0138,2023/12/08,C1159,Laptop,-2,-567.56,Credit Card,Pending,2023/12/08,TRUE,2.00,567.56,567.56,-1135.12,1,-1135.12,2023,,,
T0139,19/08/22,C047,Smartphone,10,252.64,PayPal,Completed,2022/08/19,FALSE,10.00,252.64,252.64,2526.42,0,0,2022,,,
T0140,2023-13-01,C4984,Laptop,-6,-770.69,Credit Card,Completed,2024/01/01,TRUE,6.00,770.69,770.69,-4624.14,1,-4624.14,2024,,,
T0141,2025-02-30,C2741,Laptop,3,,PayPal,Completed,2025/03/02,FALSE,3.00,,540.53,1621.59,0,0,2025,,,
T0142,2025-02-30,C3191,Coffee Machine,106,330.30,Cash,Completed,2025/03/02,FALSE,106.00,330.30,330.30,35011.80,0,0,2025,,,
T0143,2025-02-30,C751,Headphones,-4,-225.28,Credit Card,Pending,2025/03/02,TRUE,4.00,225.28,225.28,-901.12,1,-901.12,2025,,,
T0144,2025-02-30,C4563,Tablet,279,-845.90,PayPal,Failed,2025/03/02,FALSE,279.00,845.90,845.90,236007.28,0,0,2025,,,
T0145,14/09/21,C382,Headphones,751,-207.40,Credit Card,Completed,2021/09/14,FALSE,751.00,207.40,207.40,155754.82,0,0,2021,,,
T0146,2021/08/03,C4862,Laptop,821,,Credit Card,Pending,2021/08/03,FALSE,821.00,,540.53,443773.76,0,0,2021,,,
T0147,2023-13-01,C199,Headphones,826,-895.66,PayPal,Completed,2024/01/01,FALSE,826.00,895.66,895.66,739812.42,0,0,2024,,,
T0148,2023/11/03,C3558,Coffee Machine,5,,Credit Card,Pending,2023/11/03,FALSE,5.00,,523.61,2618.05,0,0,2023,,,
T0149,2025-02-30,C1561,Laptop,9,428.33,PayPal,Completed,2025/03/02,FALSE,9.00,428.33,428.33,3855.00,0,0,2025,,,
T0150,2023-13-01,C4339,Laptop,-4,305.68,PayPal,Completed,2024/01/01,TRUE,4.00,305.68,305.68,-1222.71,1,-1222.71,2024,,,
T0151,2023-13-01,C1274,Smartphone,1,574.68,PayPal,Pending,2024/01/01,FALSE,1.00,574.68,574.68,574.68,0,0,2024,,,
T0152,28/08/22,C4643,Laptop,-8,,PayPal,Completed,2022/08/28,TRUE,8.00,,540.53,-4324.23,1,-4324.23,2022,,,
T0153,2025-02-30,C3948,Coffee Machine,-10,,Credit Card,Failed,2025/03/02,TRUE,10.00,,523.61,-5236.10,1,-5236.10,2025,,,
T0154,2023-13-01,C3530,Smartphone,299,,Credit Card,Completed,2024/01/01,FALSE,299.00,,513.93,153664.50,0,0,2024,,,
T0155,2025-02-30,C2862,Laptop,-9,423.10,PayPal,Pending,2025/03/02,TRUE,9.00,423.10,423.10,-3807.93,1,-3807.93,2025,,,
T0156,13/03/24,C1378,Coffee Machine,586,,Cash,Completed,2024/03/13,FALSE,586.00,,523.61,306835.30,0,0,2024,,,
T0157,2025-02-30,C3724,Coffee Machine,938,345.74,PayPal,Completed,2025/03/02,FALSE,938.00,345.74,345.74,324301.16,0,0,2025,,,
T0158,2025-02-30,C2547,Headphones,7,415.80,Credit Card,Completed,2025/03/02,FALSE,7.00,415.80,415.80,2910.58,0,0,2025,,,
T0159,24/04/21,C2442,Tablet,-8,-594.82,Credit Card,Failed,2021/04/24,TRUE,8.00,594.82,594.82,-4758.54,1,-4758.54,2021,,,
T0160,2023-13-01,C184,Smartphone,698,-721.69,PayPal,Completed,2024/01/01,FALSE,698.00,721.69,721.69,503742.83,0,0,2024,,,
T0161,2025-02-30,C4793,Headphones,536,,Credit Card,Failed,2025/03/02,FALSE,536.00,,495.77,265733.90,0,0,2025,,,
T0162,2023-13-01,C3102,Laptop,-4,275.07,Cash,Completed,2024/01/01,TRUE,4.00,275.07,275.07,-1100.28,1,-1100.28,2024,,,
T0163,2020/08/03,C1613,Coffee Machine,-3,58.03,Credit Card,Failed,2020/08/03,TRUE,3.00,58.03,58.03,-174.10,1,-174.10,2020,,,
T0164,2023-13-01,C3915,Coffee Machine,789,,PayPal,Pending,2024/01/01,FALSE,789.00,,523.61,413128.07,0,0,2024,,,
T0165,18/04/23,C298,Tablet,10,282.01,PayPal,Failed,2023/04/18,FALSE,10.00,282.01,282.01,2820.10,0,0,2023,,,
T0166,2025-02-30,C3261,Smartphone,-3,,Credit Card,Pending,2025/03/02,TRUE,3.00,,513.93,-1541.78,1,-1541.78,2025,,,
T0167,2022/03/04,C1613,Tablet,-7,,PayPal,Completed,2022/03/04,TRUE,7.00,,506.52,-3545.66,1,-3545.66,2022,,,
T0168,2023/07/06,C1387,Headphones,-8,933.26,PayPal,Completed,2023/07/06,TRUE,8.00,933.26,933.26,-7466.05,1,-7466.05,2023,,,
T0169,2025-02-30,C2304,Smartphone,802,-513.50,PayPal,Completed,2025/03/02,FALSE,802.00,513.50,513.50,411830.61,0,0,2025,,,
T0170,2025-02-30,C4286,Headphones,585,808.55,Credit Card,Completed,2025/03/02,FALSE,585.00,808.55,808.55,473003.48,0,0,2025,,,
T0171,31/03/20,C4657,Coffee Machine,162,,Credit Card,Completed,2020/03/31,FALSE,162.00,,523.61,84824.77,0,0,2020,,,
T0172,2025-02-30,C3416,Coffee Machine,807,-267.20,Cash,Completed,2025/03/02,FALSE,807.00,267.20,267.20,215631.99,0,0,2025,,,
T0173,2023-13-01,C1171,Laptop,-9,,PayPal,Completed,2024/01/01,TRUE,9.00,,540.53,-4864.76,1,-4864.76,2024,,,
T0174,2022/09/12,C2398,Coffee Machine,-5,643.71,PayPal,Failed,2022/09/12,TRUE,5.00,643.71,643.71,-3218.55,1,-3218.55,2022,,,
T0175,2023/01/12,C2286,Coffee Machine,-8,,PayPal,Completed,2023/01/12,TRUE,8.00,,523.61,-4188.88,1,-4188.88,2023,,,
T0176,30/07/21,C1417,Tablet,-7,,Cash,Failed,2021/07/30,TRUE,7.00,,506.52,-3545.66,1,-3545.66,2021,,,
T0177,2025-02-30,C3759,Headphones,1,-641.51,Credit Card,Completed,2025/03/02,FALSE,1.00,641.51,641.51,641.51,0,0,2025,,,
T0178,2023-13-01,C4707,Headphones,767,-902.91,PayPal,Completed,2024/01/01,FALSE,767.00,902.91,902.91,692531.65,0,0,2024,,,
T0179,2024/10/07,C2496,Headphones,431,242.13,PayPal,Failed,2024/10/07,FALSE,431.00,242.13,242.13,104358.03,0,0,2024,,,
T0180,2023-13-01,C2942,Tablet,1,,PayPal,Completed,2024/01/01,FALSE,1.00,,506.52,506.52,0,0,2024,,,
T0181,22/04/23,C1453,Smartphone,535,559.02,Credit Card,Failed,2023/04/22,FALSE,535.00,559.02,559.02,299073.34,0,0,2023,,,
T0182,17/04/23,C3631,Headphones,212,873.74,Credit Card,Failed,2023/04/17,FALSE,212.00,873.74,873.74,185233.92,0,0,2023,,,
T0183,2022/01/03,C4052,Laptop,-2,-162.85,Credit Card,Completed,2022/01/03,TRUE,2.00,162.85,162.85,-325.69,1,-325.69,2022,,,
